Name,cs_group,Category,Location,latitude,longitude
AH01,-,House,Altenahr,50.516055,6.989928333333333
AH02_A,A,House,Altenahr,50.51611333333334,6.98854
AH03_A,A,House,Altenahr,50.51616833333333,6.988165
AH04_A,A,House,Altenahr,50.51619,6.9880683333333335
AH05,-,House,Altenahr,50.516351666666665,6.987686666666667
AH06,-,House,Altenahr,50.51580166666667,6.986796666666667
AH07_B,B,House,Altenahr,50.515658333333334,6.98524
AH08_B,B,House,Altenahr,50.515723333333334,6.985106666666667
AH09,-,House,Altenahr,50.51575666666667,6.98453
AH10,-,House,Altenahr,50.516315,6.984723333333333
AH11,-,House,Altenahr,50.51649666666667,6.984666666666667
AH12,-,House,Altenahr,50.516708333333334,6.985085
AH13,-,House,Altenahr,50.51663833333333,6.985293333333333
AH14_C,C,House,Altenahr,50.51689666666667,6.986295
AH15_C,C,House,Altenahr,50.516976666666665,6.986295
AM01,-,Misc,Altenahr,50.51667,6.993938333333333
AM02,-,Misc,Altenahr,50.51649666666667,6.993706666666666
AM03,-,Misc,Altenahr,50.51650166666667,6.993575
AM04,-,Misc,Altenahr,50.51683833333333,6.99328
AM05,-,Misc,Altenahr,50.51653,6.989575
AM06,-,Misc,Altenahr,50.515875,6.987025
AM07,-,Misc,Altenahr,50.516931666666665,6.986376666666667
AM08,-,Misc,Altenahr,50.516931666666665,6.986376666666667
AM09,-,Misc,Altenahr,50.516931666666665,6.986376666666667
AM10,-,Misc,Altenahr,50.516931666666665,6.986376666666667
AM11,-,Misc,Altenahr,50.516958333333335,6.98635
AM12,-,Misc,Altenahr,50.516315,6.984723333333333
AM13,-,Misc,Altenahr,50.51575666666667,6.98453
AW1,-,Watermark,Altenahr,50.516848333333336,6.992538333333333
AW2,-,Watermark,Altenahr,50.51644,6.987228333333333
AW3,-,Watermark,Altenahr,50.51651666666667,6.987151666666667
AW4,-,Watermark,Altenahr,50.516951666666664,6.9863
AW5,-,Watermark,Altenahr,50.516556666666666,6.98602
BH01,-,House,Brück,50.486385,6.971208333333333
BH02,-,House,Brück,50.48602833333333,6.97096
BH03,-,House,Brück,50.48602833333333,6.97096
BH04,-,House,Brück,50.48595666666667,6.970913333333334
BH05,-,House,Brück,50.48585,6.970983333333333
BH06,-,House,Brück,50.485753333333335,6.971031666666667
BH07,-,House,Brück,50.486016666666664,6.972036666666667
BH08,-,House,Brück,50.485035,6.972638333333333
BH09_A,A,House,Brück,50.483295,6.972515
BH10_A,A,House,Brück,50.48321833333333,6.972391666666667
BH11_A,A,House,Brück,50.483223333333335,6.972368333333334
BH12_A,A,House,Brück,50.48316666666667,6.972405
BH13_A,A,House,Brück,50.483151666666664,6.972406666666666
BH14_A,A,House,Brück,50.48315,6.972461666666667
BH15_A,A,House,Brück,50.48312333333333,6.972353333333333
BH16_A,A,House,Brück,50.48318166666667,6.972228333333334
BH17_A,A,House,Brück,50.483133333333335,6.972638333333333
BH18,-,House,Brück,50.48305166666667,6.971756666666667
BH19_B,B,House,Brück,50.482888333333335,6.971568333333334
BH20_B,B,House,Brück,50.48303333333333,6.971335
BH21_B,B,House,Brück,50.48260833333333,6.971806666666667
BH22,-,House,Brück,50.48252166666666,6.971185
BH23,-,House,Brück,50.482593333333334,6.970938333333334
BH24_C,C,House,Brück,50.48297,6.971363333333334
BH25_C,C,House,Brück,50.483065,6.971113333333333
BH26,-,House,Brück,50.483288333333334,6.971698333333333
BM1,-,Misc,Brück,50.48637333333333,6.97121
BM2,-,Misc,Brück,50.485933333333335,6.97198
BM3,-,Misc,Brück,50.483578333333334,6.972086666666667
BM4,-,Misc,Brück,50.483203333333336,6.9724466666666665
BM5,-,Misc,Brück,50.48301166666667,6.971683333333333
BM6,-,Misc,Brück,50.482595,6.971808333333334
BM7,-,Misc,Brück,50.482665,6.970935
BW1,-,Watermark,Brück,50.48310166666667,6.972511666666667
BW2,-,Watermark,Brück,50.48542,6.97146
BW3,-,Watermark,Brück,50.48594666666666,6.971963333333333
BW4,-,Watermark,Brück,50.48597,6.9719283333333335
BW5,-,Watermark,Brück,50.48631,6.971
BW6,-,Watermark,Brück,50.48605666666667,6.97042
BW7,-,Watermark,Brück,50.48602666666667,6.970448333333334
BW8,-,Watermark,Brück,50.48600666666667,6.970316666666667
DH01,-,House,Dernau,50.52858333333333,7.04071
DH02_A,A,House,Dernau,50.53364,7.054086666666667
DH03_A,A,House,Dernau,50.533725,7.054186666666666
DH04_A,A,House,Dernau,50.53376,7.054185
DH05_A,A,House,Dernau,50.533791666666666,7.0541366666666665
DH06_A,A,House,Dernau,50.533818333333336,7.05415
DH07_A,A,House,Dernau,50.53375666666667,7.054098333333333
